model.lambda_L,model.lambda_S,model.lambda_spatial_L,model.lambda_spatial_S,ssim,psnr,exp_name
0.0025,0.05,0.05,0.005,0.7794,23.7276,grid_run_005_lambda_L_0.0025_lambda_S_0.05_lambda_spatial_L_0.05_lambda_spatial_S_0.005
0.0025,0.05,0.005,0.005,0.7603,23.0741,grid_run_002_lambda_L_0.0025_lambda_S_0.05_lambda_spatial_L_0.005_lambda_spatial_S_0.005
0.0025,0.05,0.05,0.05,0.7516,22.8112,grid_run_006_lambda_L_0.0025_lambda_S_0.05_lambda_spatial_L_0.05_lambda_spatial_S_0.05
0.0025,0.05,0.005,0.05,0.7501,22.7875,grid_run_003_lambda_L_0.0025_lambda_S_0.05_lambda_spatial_L_0.005_lambda_spatial_S_0.05
0.0025,0.05,0.005,0.1,0.7463,22.7216,grid_run_004_lambda_L_0.0025_lambda_S_0.05_lambda_spatial_L_0.005_lambda_spatial_S_0.1
0.0025,0.005,0.1,0.1,0.7421,22.614,grid_run_001_lambda_L_0.0025_lambda_S_0.005_lambda_spatial_L_0.1_lambda_spatial_S_0.1
0.0025,0.05,0.05,0.1,0.7374,22.4427,grid_run_007_lambda_L_0.0025_lambda_S_0.05_lambda_spatial_L_0.05_lambda_spatial_S_0.1
