model.lambda_L,model.lambda_S,model.lambda_spatial_L,model.lambda_spatial_S,ssim,psnr,exp_name
0.0025,0.005,0.005,0.05,0.7732,23.4926,grid_run_001_lambda_L_0.0025_lambda_S_0.005_lambda_spatial_L_0.005_lambda_spatial_S_0.05
0.0025,0.005,0.05,0.05,0.7624,23.231,grid_run_004_lambda_L_0.0025_lambda_S_0.005_lambda_spatial_L_0.05_lambda_spatial_S_0.05
0.0025,0.005,0.1,0.05,0.7621,23.1334,grid_run_007_lambda_L_0.0025_lambda_S_0.005_lambda_spatial_L_0.1_lambda_spatial_S_0.05
0.0025,0.005,0.005,0.1,0.76,23.0589,grid_run_002_lambda_L_0.0025_lambda_S_0.005_lambda_spatial_L_0.005_lambda_spatial_S_0.1
0.0025,0.005,0.1,0.005,0.7559,22.9656,grid_run_006_lambda_L_0.0025_lambda_S_0.005_lambda_spatial_L_0.1_lambda_spatial_S_0.005
0.0025,0.005,0.05,0.005,0.7544,22.9513,grid_run_003_lambda_L_0.0025_lambda_S_0.005_lambda_spatial_L_0.05_lambda_spatial_S_0.005
0.0025,0.005,0.05,0.1,0.7524,22.8264,grid_run_005_lambda_L_0.0025_lambda_S_0.005_lambda_spatial_L_0.05_lambda_spatial_S_0.1
