model.lambda_L,model.lambda_S,model.lambda_spatial_L,model.lambda_spatial_S,ssim,psnr,exp_name
0.05,0.1,0.1,0.005,0.7575,22.9424,grid_run_002_lambda_L_0.05_lambda_S_0.1_lambda_spatial_L_0.1_lambda_spatial_S_0.005
0.05,0.1,0.1,0.05,0.7571,22.8059,grid_run_003_lambda_L_0.05_lambda_S_0.1_lambda_spatial_L_0.1_lambda_spatial_S_0.05
0.05,0.1,0.05,0.1,0.7429,22.6031,grid_run_001_lambda_L_0.05_lambda_S_0.1_lambda_spatial_L_0.05_lambda_spatial_S_0.1
0.05,0.1,0.1,0.1,0.7372,22.4634,grid_run_004_lambda_L_0.05_lambda_S_0.1_lambda_spatial_L_0.1_lambda_spatial_S_0.1
