model.lambda_L,model.lambda_S,model.lambda_spatial_L,model.lambda_spatial_S,ssim,psnr,exp_name
0.0005,0.05,0.1,0.05,0.7486,22.742,grid_run_003_lambda_L_0.0005_lambda_S_0.05_lambda_spatial_L_0.1_lambda_spatial_S_0.05
0.0005,0.1,0.005,0.05,0.7462,22.6508,grid_run_006_lambda_L_0.0005_lambda_S_0.1_lambda_spatial_L_0.005_lambda_spatial_S_0.05
0.0005,0.1,0.005,0.005,0.7444,22.6839,grid_run_005_lambda_L_0.0005_lambda_S_0.1_lambda_spatial_L_0.005_lambda_spatial_S_0.005
0.0005,0.05,0.1,0.005,0.7384,22.4369,grid_run_002_lambda_L_0.0005_lambda_S_0.05_lambda_spatial_L_0.1_lambda_spatial_S_0.005
0.0005,0.05,0.05,0.1,0.7353,22.3301,grid_run_001_lambda_L_0.0005_lambda_S_0.05_lambda_spatial_L_0.05_lambda_spatial_S_0.1
0.0005,0.05,0.1,0.1,0.7322,22.3259,grid_run_004_lambda_L_0.0005_lambda_S_0.05_lambda_spatial_L_0.1_lambda_spatial_S_0.1
0.0005,0.1,0.005,0.1,0.7304,22.4568,grid_run_007_lambda_L_0.0005_lambda_S_0.1_lambda_spatial_L_0.005_lambda_spatial_S_0.1
