model.lambda_L,model.lambda_S,model.lambda_spatial_L,model.lambda_spatial_S,ssim,psnr,exp_name
0.05,0.05,0.005,0.005,0.7551,22.8416,grid_run_001_lambda_L_0.05_lambda_S_0.05_lambda_spatial_L_0.005_lambda_spatial_S_0.005
0.05,0.05,0.005,0.05,0.7526,22.7345,grid_run_002_lambda_L_0.05_lambda_S_0.05_lambda_spatial_L_0.005_lambda_spatial_S_0.05
0.05,0.05,0.005,0.1,0.7518,22.7496,grid_run_003_lambda_L_0.05_lambda_S_0.05_lambda_spatial_L_0.005_lambda_spatial_S_0.1
0.05,0.05,0.05,0.005,0.761,23.1537,grid_run_004_lambda_L_0.05_lambda_S_0.05_lambda_spatial_L_0.05_lambda_spatial_S_0.005
0.05,0.05,0.05,0.05,0.7386,22.449,grid_run_005_lambda_L_0.05_lambda_S_0.05_lambda_spatial_L_0.05_lambda_spatial_S_0.05
0.05,0.05,0.05,0.1,0.7532,22.9173,grid_run_006_lambda_L_0.05_lambda_S_0.05_lambda_spatial_L_0.05_lambda_spatial_S_0.1
0.05,0.05,0.1,0.005,0.7575,23.0045,grid_run_007_lambda_L_0.05_lambda_S_0.05_lambda_spatial_L_0.1_lambda_spatial_S_0.005
