model.lambda_L,model.lambda_S,model.lambda_spatial_L,model.lambda_spatial_S,ssim,psnr,exp_name
0.0025,0.05,0.1,0.005,0.7543,22.9317,grid_run_001_lambda_L_0.0025_lambda_S_0.05_lambda_spatial_L_0.1_lambda_spatial_S_0.005
0.0025,0.05,0.1,0.05,0.7408,22.5601,grid_run_002_lambda_L_0.0025_lambda_S_0.05_lambda_spatial_L_0.1_lambda_spatial_S_0.05
0.0025,0.05,0.1,0.1,0.7603,23.0186,grid_run_003_lambda_L_0.0025_lambda_S_0.05_lambda_spatial_L_0.1_lambda_spatial_S_0.1
0.0025,0.1,0.005,0.005,0.7573,22.9027,grid_run_004_lambda_L_0.0025_lambda_S_0.1_lambda_spatial_L_0.005_lambda_spatial_S_0.005
0.0025,0.1,0.005,0.05,0.7379,22.4509,grid_run_005_lambda_L_0.0025_lambda_S_0.1_lambda_spatial_L_0.005_lambda_spatial_S_0.05
0.0025,0.1,0.005,0.1,0.7479,22.7522,grid_run_006_lambda_L_0.0025_lambda_S_0.1_lambda_spatial_L_0.005_lambda_spatial_S_0.1
0.0025,0.1,0.05,0.005,0.7347,22.4727,grid_run_007_lambda_L_0.0025_lambda_S_0.1_lambda_spatial_L_0.05_lambda_spatial_S_0.005
