model.lambda_L,model.lambda_S,model.lambda_spatial_L,model.lambda_spatial_S,ssim,psnr,exp_name
0.0005,0.005,0.1,0.05,0.7563,23.024,grid_run_001_lambda_L_0.0005_lambda_S_0.005_lambda_spatial_L_0.1_lambda_spatial_S_0.05
0.0005,0.005,0.1,0.1,0.7594,22.9913,grid_run_002_lambda_L_0.0005_lambda_S_0.005_lambda_spatial_L_0.1_lambda_spatial_S_0.1
0.0005,0.05,0.005,0.005,0.759,23.0692,grid_run_003_lambda_L_0.0005_lambda_S_0.05_lambda_spatial_L_0.005_lambda_spatial_S_0.005
0.0005,0.05,0.005,0.05,0.7267,22.216,grid_run_004_lambda_L_0.0005_lambda_S_0.05_lambda_spatial_L_0.005_lambda_spatial_S_0.05
0.0005,0.05,0.005,0.1,0.753,22.8735,grid_run_005_lambda_L_0.0005_lambda_S_0.05_lambda_spatial_L_0.005_lambda_spatial_S_0.1
0.0005,0.05,0.05,0.005,0.7455,22.5469,grid_run_006_lambda_L_0.0005_lambda_S_0.05_lambda_spatial_L_0.05_lambda_spatial_S_0.005
0.0005,0.05,0.05,0.05,0.7339,22.495,grid_run_007_lambda_L_0.0005_lambda_S_0.05_lambda_spatial_L_0.05_lambda_spatial_S_0.05
