spf	dt_s	voxels	mae_ktrans	mae_ve	mae_vp	fail_rate	hit_bounds_rate
2	1.0416666666666667	35604	2.325947447710152e-05	0.6593254500308291	0.05926586598835611	0.0	0.21739130434782608
4	2.0833333333333335	35604	1.3142862409623277e-05	0.7770591432454258	0.06245156399359559	0.0	0.21730704415234242
8	4.166666666666667	35604	6.055940017083541e-06	0.7949013872138276	0.06496370592793939	0.0	0.22694079316930682
16	8.333333333333334	35604	9.999999999882451e-09	0.6206160030663807	0.08448650854992892	0.0	0.24182676103808562
